lm_0,lm_1,lm_2,lm_3,lm_4,lm_5,lm_6,lm_7,lm_8,lm_9,lm_10,lm_11,lm_12,lm_13,lm_14,lm_15,lm_16,lm_17,lm_18,lm_19,lm_20,lm_21,lm_22,lm_23,lm_24,lm_25,lm_26,lm_27,lm_28,lm_29,lm_30,lm_31,lm_32,lm_33,lm_34,lm_35,lm_36,lm_37,lm_38,lm_39,lm_40,lm_41,lm_42,lm_43,lm_44,lm_45,lm_46,lm_47,lm_48,lm_49,lm_50,lm_51,lm_52,lm_53,lm_54,lm_55,lm_56,lm_57,lm_58,lm_59,lm_60,lm_61,lm_62,label
0.0,0.0,0.0,0.07252452,-0.054173768,-0.035618708,0.11153039,-0.17563564,-0.042017214,0.06183347,-0.25935453,-0.045173954,-0.00021409988,-0.26846528,-0.047688607,0.08379245,-0.32181403,-0.01015492,0.08776918,-0.44463205,-0.025123402,0.081778586,-0.52039456,-0.041598197,0.071651846,-0.58456206,-0.05527089,0.032130003,-0.3304192,-0.009456047,0.038486242,-0.46040964,-0.020162104,0.037898093,-0.54926807,-0.036930125,0.033907026,-0.6211131,-0.050433222,-0.012657732,-0.31065017,-0.014496598,-0.011025667,-0.43140423,-0.027935017,-0.005976081,-0.5093663,-0.04536594,-0.0055760145,-0.57236594,-0.05817441,-0.058200955,-0.2688036,-0.023815252,-0.05664794,-0.35567975,-0.03767431,-0.051582277,-0.414604,-0.04621679,-0.04862517,-0.46806476,-0.05299312,A
0.0,0.0,0.0,0.07211459,-0.05829209,-0.036721673,0.11053833,-0.17617142,-0.04420068,0.059440196,-0.25798094,-0.04833195,-0.0033245385,-0.26759428,-0.051609386,0.08208865,-0.32044184,-0.009146111,0.08669612,-0.44193494,-0.023471056,0.0815182,-0.5162724,-0.039946135,0.07292974,-0.58108824,-0.053783145,0.0300861,-0.3284723,-0.0076497537,0.036485285,-0.45718908,-0.0174416,0.035792828,-0.54486275,-0.03424929,0.03202778,-0.6175064,-0.048022192,-0.014787793,-0.30903316,-0.011976219,-0.012668252,-0.42874622,-0.024362583,-0.007758677,-0.50459266,-0.041289218,-0.007826328,-0.56667185,-0.05379313,-0.05989079,-0.2674032,-0.020741547,-0.05892867,-0.35399973,-0.033039108,-0.054297954,-0.4119939,-0.0404715,-0.0521017,-0.46430543,-0.046507776,A
0.0,0.0,0.0,0.07311514,-0.055152833,-0.036711175,0.11202669,-0.17651582,-0.042851854,0.060236096,-0.25925976,-0.045304637,-0.0026035905,-0.2664374,-0.04707853,0.08171108,-0.31969827,-0.010146728,0.08711308,-0.44022843,-0.02372138,0.08289412,-0.51592124,-0.039435834,0.07513395,-0.58112305,-0.05285759,0.030391365,-0.32904837,-0.008358295,0.036632895,-0.45668638,-0.017576672,0.036584675,-0.5445113,-0.033616994,0.03362298,-0.6164311,-0.046777826,-0.013882041,-0.31019315,-0.012290265,-0.012170762,-0.4285109,-0.02449447,-0.0066697896,-0.50575155,-0.041601412,-0.00572899,-0.56894666,-0.054303553,-0.058597296,-0.26974642,-0.020603726,-0.057931006,-0.35611174,-0.03357968,-0.0532279,-0.4135086,-0.04143935,-0.05081007,-0.46522433,-0.047674496,A
0.0,0.0,0.0,0.07396296,-0.055492103,-0.035688657,0.11231217,-0.17617524,-0.04108567,0.06144449,-0.25935727,-0.043032933,-0.0004350543,-0.2664047,-0.04430334,0.084555775,-0.31684858,-0.0085453335,0.09074327,-0.43895495,-0.021803766,0.08697721,-0.5155477,-0.0374709,0.07923016,-0.58131313,-0.050772466,0.033613205,-0.3284697,-0.007106995,0.039852023,-0.45893556,-0.015882941,0.039853483,-0.5480335,-0.03187425,0.03665027,-0.62043715,-0.0449297,-0.010757595,-0.31190723,-0.011336119,-0.009563148,-0.43054894,-0.022826351,-0.0045342743,-0.5096415,-0.03999111,-0.003989458,-0.57377607,-0.052758165,-0.05604759,-0.27375454,-0.019902796,-0.055266693,-0.36002627,-0.03213954,-0.050402135,-0.4178722,-0.03976933,-0.04747179,-0.4690448,-0.04585606,A
0.0,0.0,0.0,0.072725624,-0.05708635,-0.03348269,0.11182022,-0.17677414,-0.039266158,0.05910915,-0.25836843,-0.04215534,-0.0022653341,-0.2679913,-0.044424165,0.08597401,-0.31593868,-0.008021164,0.092734784,-0.4368262,-0.022375615,0.08888823,-0.51117325,-0.03855022,0.080964744,-0.57494116,-0.052107755,0.03410554,-0.3274339,-0.008383042,0.042036414,-0.45694113,-0.018370114,0.04237342,-0.54375815,-0.0346821,0.03933415,-0.61490977,-0.04793548,-0.01100114,-0.3107479,-0.014232771,-0.007825673,-0.43159872,-0.027024543,-0.002052009,-0.5092771,-0.04369671,-0.0014567673,-0.57256174,-0.056077775,-0.05696234,-0.27177912,-0.024166415,-0.055273414,-0.35816172,-0.037281882,-0.049595237,-0.4164341,-0.04476139,-0.046411395,-0.4685188,-0.050784674,A
0.0,0.0,0.0,0.072995216,-0.053302944,-0.032503445,0.11150998,-0.17361224,-0.037570912,0.064787894,-0.25955582,-0.040020604,0.0046330392,-0.26967555,-0.042026024,0.08589524,-0.31717628,-0.0081232395,0.09241703,-0.43859524,-0.02231206,0.08851409,-0.5138998,-0.038329735,0.08102843,-0.57795906,-0.051978562,0.034573883,-0.32892734,-0.008771845,0.04212755,-0.4584722,-0.018878836,0.04325193,-0.546104,-0.034990482,0.041707873,-0.6172956,-0.048144158,-0.010121882,-0.3120551,-0.014801794,-0.0070525706,-0.4339799,-0.027531473,-0.00063067675,-0.5112245,-0.044112056,0.0016494691,-0.57418513,-0.056692913,-0.055487394,-0.2722304,-0.024890922,-0.053819686,-0.35700637,-0.03819316,-0.047516227,-0.41495723,-0.046271674,-0.042766303,-0.4674387,-0.052943595,A
0.0,0.0,0.0,0.07177219,-0.057049334,-0.033424526,0.11061445,-0.17358446,-0.04007656,0.06502077,-0.256755,-0.043926075,0.004506439,-0.26682985,-0.04739017,0.08330181,-0.32041976,-0.009613474,0.09056786,-0.43938568,-0.023779672,0.086953074,-0.51200455,-0.040168673,0.07902241,-0.5757189,-0.053955548,0.03285274,-0.32927698,-0.009491079,0.0417763,-0.45544025,-0.019063476,0.04267031,-0.54119337,-0.0351128,0.04000607,-0.6127597,-0.04844971,-0.010804653,-0.31065947,-0.014619316,-0.0075818896,-0.42706633,-0.025800526,-0.0013108552,-0.5012548,-0.040910512,0.00035080314,-0.5621911,-0.052560776,-0.055204242,-0.26984978,-0.023951322,-0.054093212,-0.35540646,-0.034866452,-0.04821436,-0.41274062,-0.04090832,-0.044457585,-0.46390915,-0.04618245,A
0.0,0.0,0.0,0.06970352,-0.05842507,-0.03342603,0.10760191,-0.17516208,-0.04053578,0.06101975,-0.25550807,-0.045011517,0.0008352697,-0.2632047,-0.04921963,0.079972476,-0.3212174,-0.010686539,0.08677104,-0.43986303,-0.026004776,0.08415231,-0.51435065,-0.042806126,0.07759306,-0.57885057,-0.056669388,0.029426873,-0.3296505,-0.01139122,0.037493885,-0.45575365,-0.022268469,0.03837517,-0.54259276,-0.03836806,0.036558628,-0.6149858,-0.051245697,-0.014312297,-0.3104465,-0.017395427,-0.012052834,-0.42844456,-0.029317556,-0.007227838,-0.50369835,-0.04403196,-0.0052319765,-0.56664324,-0.055046663,-0.059075102,-0.26827723,-0.027672948,-0.059490487,-0.35499156,-0.039063387,-0.05467169,-0.41355312,-0.044833604,-0.050692096,-0.4670871,-0.049582593,A
0.0,0.0,0.0,0.07038757,-0.05726266,-0.0347986,0.10893589,-0.17789805,-0.041417725,0.05810693,-0.2592389,-0.044771582,-0.0042977035,-0.2702334,-0.04772862,0.07962215,-0.32304078,-0.011487616,0.08437514,-0.44417608,-0.026578749,0.08057922,-0.51942974,-0.042817235,0.07275063,-0.584309,-0.05620755,0.027526408,-0.33157733,-0.011255943,0.03428203,-0.45919743,-0.021921065,0.0344218,-0.5466119,-0.037994813,0.031690687,-0.61889625,-0.050890233,-0.017138958,-0.31181622,-0.016517418,-0.015248179,-0.43051082,-0.029340927,-0.009388328,-0.50701064,-0.045265578,-0.007112086,-0.5701656,-0.056971442,-0.062475145,-0.26952904,-0.025971785,-0.06272572,-0.35777277,-0.038854215,-0.057668895,-0.41521257,-0.04546883,-0.05406843,-0.46683788,-0.05062068,A
0.0,0.0,0.0,0.071968615,-0.05736804,-0.037729014,0.11064622,-0.17776442,-0.045090236,0.058977813,-0.25932753,-0.048611958,-0.0038149953,-0.26865184,-0.051399276,0.07890993,-0.3212699,-0.012585625,0.08420712,-0.44450295,-0.027450679,0.07986587,-0.52181304,-0.04383128,0.07169962,-0.58847,-0.05749212,0.026679695,-0.3297639,-0.0106791025,0.0328511,-0.46017426,-0.02102115,0.032116354,-0.5500052,-0.03782434,0.028535962,-0.62360156,-0.05144313,-0.017954826,-0.3102875,-0.014452859,-0.016922116,-0.42985505,-0.027128434,-0.011856288,-0.5085836,-0.044355035,-0.010947287,-0.57260203,-0.057068903,-0.062458724,-0.268898,-0.022683535,-0.0624173,-0.35656622,-0.035597194,-0.05825284,-0.41576147,-0.04333224,-0.055961356,-0.4687138,-0.049439996,A
